04/29/14;1.3729
04/28/14;-1.1359
04/25/14;-1.2911
04/24/14;-0.2055
04/23/14;0.5886
04/22/14;0.5115
04/21/14;-1.3699
04/18/14;0.0631
04/17/14;-0.2333
04/16/14;0.2518
04/15/14;-1.7615
04/14/14;-0.0467
04/11/14;0.3123
04/10/14;0.6916
04/09/14;0.0346
04/08/14;1.9118
04/04/14;0.9564
04/03/14;-0.4852
04/02/14;0.7207
04/01/14;1.2731
03/31/14;0.335
03/28/14;-0.1039
03/27/14;-0.9824
03/26/14;-0.1124
03/25/14;-0.2943
03/24/14;0.4445
03/21/14;3.4777
03/20/14;-2.1247
03/19/14;-1.7024
03/18/14;-0.9083
03/17/14;1.403
03/14/14;-1.0961
03/13/14;1.417
03/12/14;0.0616
03/11/14;1.3223
03/10/14;-2.8661
03/07/14;-0.3203
03/06/14;0.7385
03/05/14;-0.6666
03/04/14;-0.6061
03/03/14;0.3527
02/28/14;2.4647
02/27/14;-1.7879
02/26/14;0.2145
02/25/14;-3.1632
02/24/14;-2.684
02/21/14;-1.1676
02/20/14;-1.4059
02/19/14;1.5509
02/18/14;-1.4035
02/17/14;0.7637
02/14/14;0.3391
02/13/14;-0.5691
02/12/14;0.816
02/11/14;0.3323
02/10/14;2.568
02/07/14;0.5802
01/30/14;-1.751
01/29/14;-0.4283
01/28/14;-0.1521
01/27/14;-1.3062
01/24/14;0.856
01/23/14;-0.409
01/22/14;2.9898
01/21/14;0.9183
01/20/14;-0.2682
01/17/14;-1.5997
01/16/14;-0.0206
01/15/14;0.0395
01/14/14;1.2309
01/13/14;-0.987
01/10/14;-1.274
01/09/14;-0.7101
01/08/14;-0.0534
01/07/14;-0.1554
01/06/14;-2.6141
01/03/14;-1.0606
01/02/14;-0.0911
12/31/13;1.5312
12/30/13;-0.6157
12/27/13;1.9187
12/26/13;-2.4584
12/25/13;0.8588
12/24/13;0.4746
12/23/13;0.2861
12/20/13;-2.2213
12/19/13;-1.0834
12/18/13;0.2863
12/17/13;-0.716
12/16/13;-1.8642
12/13/13;0.3472
12/12/13;-0.1088
12/11/13;-1.6878
12/10/13;0.4049
12/09/13;-0.0822
12/06/13;-0.3984
12/05/13;-0.4654
12/04/13;1.2752
12/03/13;1.3834
12/02/13;-1.9428
11/29/13;-0.0674
11/28/13;1.1946
11/27/13;0.9815
11/26/13;-0.1695
11/25/13;-0.4017
11/22/13;-0.6926
11/21/13;-0.4542
11/20/13;0.5847
11/19/13;-0.7338
11/18/13;2.6228
11/15/13;1.8313
11/14/13;0.5615
11/13/13;-2.0329
11/12/13;1.3544
11/11/13;0.1628
11/08/13;-1.0298
11/07/13;-0.5744
11/06/13;-1.9389
11/05/13;0.4134
11/04/13;-0.4116
11/01/13;0.0866
10/31/13;-1.2739
10/30/13;1.8389
10/29/13;0.7466
10/28/13;-0.5123
